1.000000e-08 -1.000000e-09 1.000000e-08 -1.000000e-11 
1.000012e-08 -1.000012e-09 1.000012e-08 -1.000012e-11 
1.000036e-08 -1.000036e-09 1.000036e-08 -1.000036e-11 
1.000084e-08 -1.000084e-09 1.000084e-08 -1.000084e-11 
1.000180e-08 -1.000180e-09 1.000180e-08 -1.000180e-11 
1.000372e-08 -1.000372e-09 1.000372e-08 -1.000372e-11 
1.000756e-08 -1.000756e-09 1.000756e-08 -1.000756e-11 
1.001524e-08 -1.001526e-09 1.001524e-08 -1.001526e-11 
1.003060e-08 -1.003066e-09 1.003060e-08 -1.003066e-11 
1.006132e-08 -1.006157e-09 1.006132e-08 -1.006157e-11 
1.012276e-08 -1.012376e-09 1.012276e-08 -1.012377e-11 
1.024564e-08 -1.024966e-09 1.024564e-08 -1.024966e-11 
1.049140e-08 -1.050750e-09 1.049140e-08 -1.050750e-11 
1.098292e-08 -1.104732e-09 1.098292e-08 -1.104733e-11 
1.196596e-08 -1.222361e-09 1.196596e-08 -1.222363e-11 
1.212611e-08 -1.241781e-09 1.212611e-08 -1.241783e-11 
1.229607e-08 -1.262679e-09 1.229607e-08 -1.262681e-11 
1.247281e-08 -1.284723e-09 1.247281e-08 -1.284726e-11 
1.261477e-08 -1.302631e-09 1.261477e-08 -1.302634e-11 
1.273894e-08 -1.318449e-09 1.273894e-08 -1.318452e-11 
1.286848e-08 -1.335119e-09 1.286848e-08 -1.335122e-11 
1.300012e-08 -1.352232e-09 1.300012e-08 -1.352235e-11 
1.300318e-08 -1.352629e-09 1.300318e-08 -1.352633e-11 
1.300929e-08 -1.353425e-09 1.300929e-08 -1.353428e-11 
1.302152e-08 -1.355017e-09 1.302152e-08 -1.355020e-11 
1.304598e-08 -1.358208e-09 1.304598e-08 -1.358211e-11 
1.309489e-08 -1.364613e-09 1.309489e-08 -1.364616e-11 
1.319271e-08 -1.377518e-09 1.319271e-08 -1.377522e-11 
1.338836e-08 -1.403712e-09 1.338836e-08 -1.403716e-11 
1.377966e-08 -1.457631e-09 1.377966e-08 -1.457636e-11 
1.379652e-08 -1.459958e-09 1.379652e-08 -1.459962e-11 
1.383025e-08 -1.464622e-09 1.383025e-08 -1.464626e-11 
1.387061e-08 -1.470220e-09 1.387061e-08 -1.470225e-11 
1.390849e-08 -1.475489e-09 1.390849e-08 -1.475493e-11 
1.394463e-08 -1.480528e-09 1.394463e-08 -1.480533e-11 
1.401692e-08 -1.490660e-09 1.401692e-08 -1.490665e-11 
1.403560e-08 -1.493282e-09 1.403560e-08 -1.493287e-11 
1.406751e-08 -1.497772e-09 1.406751e-08 -1.497777e-11 
1.413135e-08 -1.506793e-09 1.413135e-08 -1.506797e-11 
1.425901e-08 -1.524996e-09 1.425901e-08 -1.525001e-11 
1.451434e-08 -1.562055e-09 1.451434e-08 -1.562061e-11 
1.502500e-08 -1.638782e-09 1.502500e-08 -1.638788e-11 
1.604633e-08 -1.802665e-09 1.604633e-08 -1.802673e-11 
1.808898e-08 -2.172155e-09 1.808898e-08 -2.172167e-11 
