1.000000e-08 1.000000e-04 
1.000012e-08 1.000012e-04 
1.000036e-08 1.000036e-04 
1.000084e-08 1.000084e-04 
1.000180e-08 1.000180e-04 
1.000372e-08 1.000372e-04 
1.000756e-08 1.000756e-04 
1.001524e-08 1.001524e-04 
1.003060e-08 1.003060e-04 
1.006132e-08 1.006132e-04 
1.012276e-08 1.012276e-04 
1.024564e-08 1.024564e-04 
1.049140e-08 1.049140e-04 
1.098292e-08 1.098292e-04 
1.196596e-08 1.196596e-04 
1.212611e-08 1.212611e-04 
1.229607e-08 1.229607e-04 
1.247281e-08 1.247281e-04 
1.261477e-08 1.261477e-04 
1.273894e-08 1.273894e-04 
1.286848e-08 1.286848e-04 
1.300012e-08 1.300012e-04 
1.300318e-08 1.300318e-04 
1.300929e-08 1.300929e-04 
1.302152e-08 1.302152e-04 
1.304598e-08 1.304598e-04 
1.309489e-08 1.309489e-04 
1.319271e-08 1.319271e-04 
1.338836e-08 1.338836e-04 
1.377966e-08 1.377966e-04 
1.379652e-08 1.379652e-04 
1.383025e-08 1.383025e-04 
1.387061e-08 1.387061e-04 
1.390849e-08 1.390849e-04 
1.394463e-08 1.394463e-04 
1.401692e-08 1.401692e-04 
1.403560e-08 1.403560e-04 
1.406751e-08 1.406751e-04 
1.413135e-08 1.413135e-04 
1.425901e-08 1.425901e-04 
1.451434e-08 1.451434e-04 
1.502500e-08 1.502500e-04 
1.604633e-08 1.604633e-04 
1.808898e-08 1.808898e-04 
2.217427e-08 2.217427e-04 
3.034486e-08 3.034486e-04 
4.668604e-08 4.668604e-04 
7.936840e-08 7.936840e-04 
1.447331e-07 1.447331e-03 
2.754626e-07 2.754626e-03 
2.802555e-07 2.802555e-03 
2.853853e-07 2.853853e-03 
2.913556e-07 2.913556e-03 
2.961584e-07 2.961584e-03 
3.010458e-07 3.010458e-03 
3.071540e-07 3.071540e-03 
3.131207e-07 3.131207e-03 
3.189218e-07 3.189218e-03 
3.219576e-07 3.219576e-03 
3.247483e-07 3.247483e-03 
3.280757e-07 3.280757e-03 
3.323707e-07 3.323707e-03 
3.362823e-07 3.362823e-03 
3.409791e-07 3.409791e-03 
3.467521e-07 3.467521e-03 
3.506322e-07 3.506322e-03 
3.552905e-07 3.552905e-03 
3.596703e-07 3.596703e-03 
3.640066e-07 3.640066e-03 
3.674031e-07 3.674031e-03 
3.704384e-07 3.704384e-03 
3.736747e-07 3.736747e-03 
3.773025e-07 3.773025e-03 
3.811066e-07 3.811066e-03 
3.847626e-07 3.847626e-03 
3.882490e-07 3.882490e-03 
3.917441e-07 3.917441e-03 
3.953733e-07 3.953733e-03 
3.991183e-07 3.991183e-03 
4.028800e-07 4.028800e-03 
4.066069e-07 4.066069e-03 
4.103313e-07 4.103313e-03 
4.141051e-07 4.141051e-03 
4.179435e-07 4.179435e-03 
4.218234e-07 4.218234e-03 
4.257198e-07 4.257198e-03 
4.296318e-07 4.296318e-03 
4.335750e-07 4.335750e-03 
4.375603e-07 4.375603e-03 
4.415855e-07 4.415855e-03 
4.456422e-07 4.456422e-03 
4.497268e-07 4.497268e-03 
4.538424e-07 4.538424e-03 
4.579939e-07 4.579939e-03 
4.621826e-07 4.621826e-03 
4.664067e-07 4.664067e-03 
4.706643e-07 4.706643e-03 
4.749559e-07 4.749559e-03 
4.792830e-07 4.792830e-03 
4.836469e-07 4.836469e-03 
4.880477e-07 4.880477e-03 
4.924849e-07 4.924849e-03 
4.969584e-07 4.969584e-03 
5.014691e-07 5.014691e-03 
5.060174e-07 5.060174e-03 
5.106040e-07 5.106040e-03 
5.152288e-07 5.152288e-03 
5.198922e-07 5.198922e-03 
5.245944e-07 5.245944e-03 
5.293359e-07 5.293359e-03 
5.341172e-07 5.341172e-03 
5.389385e-07 5.389385e-03 
5.438002e-07 5.438002e-03 
5.487026e-07 5.487026e-03 
5.536461e-07 5.536461e-03 
5.586311e-07 5.586311e-03 
5.636580e-07 5.636580e-03 
5.687271e-07 5.687271e-03 
5.738389e-07 5.738389e-03 
5.789936e-07 5.789936e-03 
5.841917e-07 5.841917e-03 
5.894336e-07 5.894336e-03 
5.947197e-07 5.947197e-03 
6.000503e-07 6.000503e-03 
6.054259e-07 6.054259e-03 
6.108468e-07 6.108468e-03 
6.163135e-07 6.163135e-03 
6.218264e-07 6.218264e-03 
6.273858e-07 6.273858e-03 
6.329923e-07 6.329923e-03 
6.386462e-07 6.386462e-03 
6.443479e-07 6.443479e-03 
6.500979e-07 6.500979e-03 
6.558966e-07 6.558966e-03 
6.617445e-07 6.617445e-03 
6.676419e-07 6.676419e-03 
6.735893e-07 6.735893e-03 
6.795872e-07 6.795872e-03 
6.856360e-07 6.856360e-03 
6.917362e-07 6.917362e-03 
6.978882e-07 6.978882e-03 
7.040925e-07 7.040925e-03 
7.103495e-07 7.103495e-03 
7.166597e-07 7.166597e-03 
7.230236e-07 7.230236e-03 
7.294416e-07 7.294416e-03 
7.359143e-07 7.359143e-03 
7.424421e-07 7.424421e-03 
7.490255e-07 7.490255e-03 
7.556650e-07 7.556650e-03 
7.623612e-07 7.623612e-03 
7.691144e-07 7.691144e-03 
7.759252e-07 7.759252e-03 
7.827941e-07 7.827941e-03 
7.897217e-07 7.897217e-03 
7.967084e-07 7.967084e-03 
8.037547e-07 8.037547e-03 
8.108613e-07 8.108613e-03 
8.180286e-07 8.180286e-03 
8.252571e-07 8.252571e-03 
8.325475e-07 8.325475e-03 
8.399002e-07 8.399002e-03 
8.473158e-07 8.473158e-03 
8.547948e-07 8.547948e-03 
8.623378e-07 8.623378e-03 
8.699455e-07 8.699455e-03 
8.776182e-07 8.776182e-03 
8.853567e-07 8.853567e-03 
8.931615e-07 8.931615e-03 
9.010331e-07 9.010331e-03 
9.089722e-07 9.089722e-03 
9.169794e-07 9.169794e-03 
9.250552e-07 9.250552e-03 
9.332003e-07 9.332003e-03 
9.414152e-07 9.414152e-03 
9.497007e-07 9.497007e-03 
9.580572e-07 9.580572e-03 
9.664855e-07 9.664855e-03 
9.749861e-07 9.749861e-03 
9.835597e-07 9.835597e-03 
9.925544e-07 9.925544e-03 
1.000000e-06 1.000000e-02 
1.001799e-06 1.001799e-02 
1.005397e-06 1.005397e-02 
1.012255e-06 1.012255e-02 
1.025970e-06 1.025970e-02 
1.053401e-06 1.053401e-02 
1.108263e-06 1.108263e-02 
1.217987e-06 1.217987e-02 
1.437434e-06 1.437434e-02 
1.876330e-06 1.876330e-02 
1.895410e-06 1.895410e-02 
1.918504e-06 1.918504e-02 
1.949766e-06 1.949766e-02 
1.995455e-06 1.995455e-02 
2.000000e-06 2.000000e-02 
2.001437e-06 2.001437e-02 
2.004310e-06 2.004310e-02 
2.010056e-06 2.010056e-02 
2.021548e-06 2.021548e-02 
2.044532e-06 2.044532e-02 
2.090501e-06 2.090501e-02 
2.182438e-06 2.182438e-02 
2.366312e-06 2.366312e-02 
